client0_fcc/mean_reward,client0_fcc/reward_std,client1_fcc/mean_reward,client1_fcc/reward_std,client2_fcc/mean_reward,client2_fcc/reward_std,client3_fcc/mean_reward,client3_fcc/reward_std,client4_fcc/mean_reward,client4_fcc/reward_std,client5_fcc/mean_reward,client5_fcc/reward_std,client6_fcc/mean_reward,client6_fcc/reward_std,client7_fcc/mean_reward,client7_fcc/reward_std,client8_fcc/mean_reward,client8_fcc/reward_std,client9_fcc/mean_reward,client9_fcc/reward_std,client10_fcc/mean_reward,client10_fcc/reward_std,client11_fcc/mean_reward,client11_fcc/reward_std,client12_fcc/mean_reward,client12_fcc/reward_std,client13_fcc/mean_reward,client13_fcc/reward_std,client14_fcc/mean_reward,client14_fcc/reward_std,client15_fcc/mean_reward,client15_fcc/reward_std,client16_fcc/mean_reward,client16_fcc/reward_std,client17_fcc/mean_reward,client17_fcc/reward_std,client18_fcc/mean_reward,client18_fcc/reward_std,client19_fcc/mean_reward,client19_fcc/reward_std,client20_fcc/mean_reward,client20_fcc/reward_std,client21_fcc/mean_reward,client21_fcc/reward_std,client22_fcc/mean_reward,client22_fcc/reward_std,client23_fcc/mean_reward,client23_fcc/reward_std,client24_fcc/mean_reward,client24_fcc/reward_std,client25_fcc/mean_reward,client25_fcc/reward_std,client26_fcc/mean_reward,client26_fcc/reward_std,client27_fcc/mean_reward,client27_fcc/reward_std,client28_fcc/mean_reward,client28_fcc/reward_std,client29_fcc/mean_reward,client29_fcc/reward_std,client30_fcc/mean_reward,client30_fcc/reward_std,client31_fcc/mean_reward,client31_fcc/reward_std,client32_fcc/mean_reward,client32_fcc/reward_std,client33_fcc/mean_reward,client33_fcc/reward_std,client34_fcc/mean_reward,client34_fcc/reward_std,client35_fcc/mean_reward,client35_fcc/reward_std,client36_fcc/mean_reward,client36_fcc/reward_std,client37_fcc/mean_reward,client37_fcc/reward_std,client38_fcc/mean_reward,client38_fcc/reward_std,client39_fcc/mean_reward,client39_fcc/reward_std,client40_fcc/mean_reward,client40_fcc/reward_std,client41_fcc/mean_reward,client41_fcc/reward_std,client42_fcc/mean_reward,client42_fcc/reward_std,client43_fcc/mean_reward,client43_fcc/reward_std,client44_fcc/mean_reward,client44_fcc/reward_std,client45_fcc/mean_reward,client45_fcc/reward_std,client46_fcc/mean_reward,client46_fcc/reward_std,client47_fcc/mean_reward,client47_fcc/reward_std,client48_fcc/mean_reward,client48_fcc/reward_std,client49_fcc/mean_reward,client49_fcc/reward_std,client50_fcc/mean_reward,client50_fcc/reward_std,client51_lte/mean_reward,client51_lte/reward_std,client52_lte/mean_reward,client52_lte/reward_std,client53_lte/mean_reward,client53_lte/reward_std,client54_lte/mean_reward,client54_lte/reward_std,client55_lte/mean_reward,client55_lte/reward_std,client56_lte/mean_reward,client56_lte/reward_std,client57_lte/mean_reward,client57_lte/reward_std,client58_lte/mean_reward,client58_lte/reward_std,client59_lte/mean_reward,client59_lte/reward_std,client60_lte/mean_reward,client60_lte/reward_std,client61_lte/mean_reward,client61_lte/reward_std,client62_lte/mean_reward,client62_lte/reward_std,client63_lte/mean_reward,client63_lte/reward_std,client64_lte/mean_reward,client64_lte/reward_std,client65_lte/mean_reward,client65_lte/reward_std,client66_lte/mean_reward,client66_lte/reward_std,client67_lte/mean_reward,client67_lte/reward_std,client68_lte/mean_reward,client68_lte/reward_std,client69_lte/mean_reward,client69_lte/reward_std,client70_lte/mean_reward,client70_lte/reward_std,client71_lte/mean_reward,client71_lte/reward_std,client72_lte/mean_reward,client72_lte/reward_std,client73_lte/mean_reward,client73_lte/reward_std,client74_lte/mean_reward,client74_lte/reward_std,client75_lte/mean_reward,client75_lte/reward_std,client76_lte/mean_reward,client76_lte/reward_std,client77_lte/mean_reward,client77_lte/reward_std,client78_lte/mean_reward,client78_lte/reward_std,client79_lte/mean_reward,client79_lte/reward_std,client80_lte/mean_reward,client80_lte/reward_std,client81_lte/mean_reward,client81_lte/reward_std,client82_lte/mean_reward,client82_lte/reward_std,client83_lte/mean_reward,client83_lte/reward_std,client84_lte/mean_reward,client84_lte/reward_std,client85_lte/mean_reward,client85_lte/reward_std,client86_lte/mean_reward,client86_lte/reward_std,client87_lte/mean_reward,client87_lte/reward_std,client88_lte/mean_reward,client88_lte/reward_std,client89_lte/mean_reward,client89_lte/reward_std,client90_lte/mean_reward,client90_lte/reward_std,client91_lte/mean_reward,client91_lte/reward_std,client92_lte/mean_reward,client92_lte/reward_std,client93_lte/mean_reward,client93_lte/reward_std,client94_lte/mean_reward,client94_lte/reward_std,client95_lte/mean_reward,client95_lte/reward_std,client96_lte/mean_reward,client96_lte/reward_std,client97_lte/mean_reward,client97_lte/reward_std,client98_lte/mean_reward,client98_lte/reward_std,client99_lte/mean_reward,client99_lte/reward_std,server/mean_reward,server/reward_std
0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,-1.2461437968643898,2.137210610116886,0,0,0,0,-1.5574070899454537,2.708814060466609,-1.618531848264419,2.8004041964652897,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,-1.4182806807945845,2.4736343173170545,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,-1.2980597148200683,2.2868275358424532,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-1.6072097506282623,2.597049212029187,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-1.177200235971754,2.0543941515589457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,-2.0414206705410387,3.1610043708844904,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,-1.0762143950866214,1.8342282318353842,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-0.9408736594725686,1.2835870198984505,0,0,0,0,0,0,0,0,0,0,-0.1398134184238916,0.4325113306768067
0,0,0,0,0,0,0.0,0.0,-1.5472387547617648,2.5842952773986014,0,0,0,0,-1.2461437968643898,2.137210610116886,0,0,0,0,-1.5574070899454537,2.708814060466609,-1.618531848264419,2.8004041964652897,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,-1.4563463920205024,2.338857969728626,-1.4182806807945845,2.4736343173170545,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1.3212150199975345,2.3645592739526515,0,0,0.0,0.0,0.0,0.0,0,0,-1.2980597148200683,2.2868275358424532,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-1.6072097506282623,2.597049212029187,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-1.177200235971754,2.0543941515589457,0.0,0.0,0.0,0.0,0,0,-1.197005158477556,1.3478523644843443,0,0,0,0,0.0,0.0,0.0,0.0,-1.2184449474315737,1.8745178033167247,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,-1.18216658781779,1.6517749418851886,0,0,0,0,-0.4275994498061658,0.9900022635611281,0,0,0,0,0,0,-0.9936541088008093,1.2751157627130105,0,0,0,0,0,0,-1.0762143950866214,1.8342282318353842,0.0,0.0,-0.8161515465136027,1.379300372019862,0,0,0,0,0,0,0,0,-1.2021807800230642,1.7887304533794506,0,0,-0.9408736594725686,1.2835870198984505,0,0,0,0,0,0,0,0,0,0,-0.23301923917498485,0.49983940921434206
0,0,0,0,0,0,-1.531041097609517,2.6961759371251803,0.08316801815693689,0.41275888274050443,0,0,0,0,-1.2461437968643898,2.137210610116886,0,0,0,0,-1.5574070899454537,2.708814060466609,-1.618531848264419,2.8004041964652897,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,-1.4563463920205024,2.338857969728626,-1.4182806807945845,2.4736343173170545,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1.3212150199975345,2.3645592739526515,0,0,0.0,0.0,0.0,0.0,0,0,-1.2980597148200683,2.2868275358424532,0,0,-1.9738221879188351,2.6670557029517625,0,0,0,0,0,0,0,0,-1.6072097506282623,2.597049212029187,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.07790949129776438,0.2827117162628939,-1.9980998504349419,2.7331820432698635,0.0,0.0,0,0,-1.197005158477556,1.3478523644843443,0,0,0,0,0.0,0.0,0.0,0.0,-1.2184449474315737,1.8745178033167247,-1.2763616911646078,1.7158498814895693,0.0,0.0,0,0,-1.1800480491640417,1.7284223018427392,0,0,0,0,0,0,0,0,-1.0425620272209863,1.4769136972938888,-1.0540687797626553,1.6119961626702466,0,0,0.0,0.0,0,0,-2.1201870667400997,3.1795411377634037,0,0,0.0,0.0,0,0,0,0,-1.18216658781779,1.6517749418851886,0,0,0,0,-0.4275994498061658,0.9900022635611281,0,0,0,0,0,0,-0.9936541088008093,1.2751157627130105,0,0,0,0,0,0,-1.0762143950866214,1.8342282318353842,0.0,0.0,-0.8161515465136027,1.379300372019862,0,0,0,0,0,0,0,0,-1.2021807800230642,1.7887304533794506,0,0,-0.9408736594725686,1.2835870198984505,0,0,0,0,0,0,0,0,0,0,-0.3259259816732595,0.6006867363183762
0,0,0,0,0,0,0.10521568725471331,0.24082085427261282,0.08316801815693689,0.41275888274050443,0,0,0,0,-1.2461437968643898,2.137210610116886,0,0,0,0,-1.5574070899454537,2.708814060466609,-1.618531848264419,2.8004041964652897,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,-1.4563463920205024,2.338857969728626,0.06116782490851215,0.20722047123388843,-1.2933283283171877,2.24817900853127,0.0,0.0,0,0,0,0,0,0,-1.3212150199975345,2.3645592739526515,0,0,-2.1989204894497494,2.952120354736173,-1.9191720277849484,2.7294042217845624,0,0,-1.2980597148200683,2.2868275358424532,0,0,-1.9738221879188351,2.6670557029517625,0,0,0,0,0,0,0,0,-1.6072097506282623,2.597049212029187,-1.4912886182549026,2.3965232704880384,0.0,0.0,0,0,0,0,0,0,0,0,0.07790949129776438,0.2827117162628939,-1.9980998504349419,2.7331820432698635,-1.5501794910852875,2.572697640545739,0,0,-1.197005158477556,1.3478523644843443,0,0,0,0,0.0,0.0,-1.2801533461798265,1.8293629151528321,-1.2184449474315737,1.8745178033167247,-1.2763616911646078,1.7158498814895693,0.0,0.0,0,0,-1.1800480491640417,1.7284223018427392,0,0,0,0,0,0,0,0,-1.0425620272209863,1.4769136972938888,-1.0540687797626553,1.6119961626702466,0,0,-1.1363642982217685,1.7699237660115141,0,0,-2.1201870667400997,3.1795411377634037,0,0,-0.939747647091013,1.3014954046437694,0,0,0,0,-1.18216658781779,1.6517749418851886,0,0,0,0,-0.4275994498061658,0.9900022635611281,0,0,0,0,0,0,-0.9936541088008093,1.2751157627130105,0,0,0,0,0,0,-1.0762143950866214,1.8342282318353842,0.0,0.0,-0.8161515465136027,1.379300372019862,0,0,0,0,0,0,0,0,-1.2021807800230642,1.7887304533794506,0,0,-0.9408736594725686,1.2835870198984505,0,0,0,0,0,0,0,0,0,0,-0.41286047123143305,0.6635506310704298
0,0,0,0,0,0,0.10521568725471331,0.24082085427261282,0.08316801815693689,0.41275888274050443,0,0,0,0,-1.2461437968643898,2.137210610116886,0,0,0,0,-1.5574070899454537,2.708814060466609,-1.618531848264419,2.8004041964652897,0,0,0,0,0,0,0,0,0,0,-1.5319100754236066,2.6773321661724934,0,0,0,0,-1.4563463920205024,2.338857969728626,0.06116782490851215,0.20722047123388843,0.09485473478873456,0.2735938414906901,-1.6660742843714758,3.0319880068758973,0,0,0,0,0,0,-1.3212150199975345,2.3645592739526515,0,0,-2.1989204894497494,2.952120354736173,-1.9191720277849484,2.7294042217845624,0,0,-1.2980597148200683,2.2868275358424532,0,0,-1.9738221879188351,2.6670557029517625,0,0,0,0,0,0,0,0,-1.6072097506282623,2.597049212029187,-1.4912886182549026,2.3965232704880384,-1.6671827020070413,2.3506738305751336,0,0,0,0,0,0,0,0,-0.20917919274514088,0.899718207408567,-1.9980998504349419,2.7331820432698635,-1.5501794910852875,2.572697640545739,0,0,-1.197005158477556,1.3478523644843443,0,0,0,0,-1.8305393510081274,2.8505796919353408,-1.2801533461798265,1.8293629151528321,-1.2184449474315737,1.8745178033167247,-1.2763616911646078,1.7158498814895693,-1.034970943126573,1.7750731697409616,0,0,-1.1800480491640417,1.7284223018427392,0,0,0,0,0,0,0,0,-1.0425620272209863,1.4769136972938888,-0.4559353776664759,0.9847781872643723,0,0,-1.1363642982217685,1.7699237660115141,0,0,-2.1201870667400997,3.1795411377634037,0,0,-0.42746226608911675,0.8339741791936462,0,0,0,0,-1.18216658781779,1.6517749418851886,0,0,0,0,-0.4275994498061658,0.9900022635611281,0,0,0,0,0,0,-0.9936541088008093,1.2751157627130105,0,0,0,0,0,0,-1.0762143950866214,1.8342282318353842,-1.119742172157374,1.6577119925445736,-0.8161515465136027,1.379300372019862,0,0,0,0,0,0,0,0,-1.2021807800230642,1.7887304533794506,0,0,-0.9408736594725686,1.2835870198984505,0,0,0,0,0,0,0,0,0,0,-0.47924953489076416,0.6964217443194978
